programme,title,ministry,description,total_project_cost,total_foreign_funding,total_government_funding,start_date,end_date,foreign_actual_pre_2024,foreign_actual_2024,foreign_actual_2025,foreing_actual_2026,foreign_donor,region,gov_actual_pre_2024,gov_actual_2024,gov_actual_2025,gov_actual_2026,budget_2026
771 - regional administration and finance,land and water transport,region 7: cuyuni/mazaruni,the project entails provision for boat and outboard engine.,1800000,0,1800000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,1800000,1800000
771 - regional administration and finance,furniture and equipment - staff quarters,region 7: cuyuni/mazaruni,the project entails provision for furniture and equipment.,4000000,0,4000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,4000000,4000000
771 - regional administration and finance,furniture and equipment - administration,region 7: cuyuni/mazaruni,the project entails provision for furniture and equipment.,4000000,0,4000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,4000000,4000000
772 - public works,roads,region 7: cuyuni/mazaruni,"the project entails:
1. payment of retention.
2. provision for roads.",144480000,0,144480000,01-Jan-25,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,66480000,78000000,78000000
772 - public works,bridges,region 7: cuyuni/mazaruni,the project entails construction of bridges.,45500000,0,45500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,45500000,45500000
772 - public works,sea and river defence,region 7: cuyuni/mazaruni,the project entails construction of river defence structure.,26000000,0,26000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,26000000,26000000
773 - education delivery,buildings - education,region 7: cuyuni/mazaruni,this project entails provision for schools and educational facilities.,362500000,0,362500000,01-Jan-25,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,178000000,184500000,184500000
773 - education delivery,land and water transport,region 7: cuyuni/mazaruni,"the project entails provision for bus, boats and outboard engines.",45900000,0,45900000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,45900000,45900000
773 - education delivery,furniture and equipment - education,region 7: cuyuni/mazaruni,the project entails provision for school furniture and equipment.,66159000,0,66159000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,66159000,66159000
773 - education delivery,furniture and equipment - staff quarters,region 7: cuyuni/mazaruni,the project entails provision for furniture and equipment.,9000000,0,9000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,9000000,9000000
773 - education delivery,water supply,region 7: cuyuni/mazaruni,the project includes provision for water supply systems.,26765000,0,26765000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,26765000,26765000
774 - health services,buildings - health,region 7: cuyuni/mazaruni,"the project entails:
1. payment of retention.
2. provision for health facilities.",343108000,0,343108000,01-Jan-25,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,171108000,172000000,172000000
774 - health services,land and water transport,region 7: cuyuni/mazaruni,the project includes provision for ambulances.,40000000,0,40000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,40000000,40000000
774 - health services,furniture and equipment - staff quarters,region 7: cuyuni/mazaruni,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,5000000,5000000
774 - health services,furniture and equipment - health,region 7: cuyuni/mazaruni,the project entails provision for furniture and equipment.,60000000,0,60000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,0,60000000,60000000
775 - agriculture,agricultural development,region 7: cuyuni/mazaruni,"the project includes:
1. payment of retention. 
2. provision for agricultural development initiatives.",75772000,0,75772000,01-Jan-25,31-Dec-26,0,0,0,0,nil,7 cuyuni/mazaruni,0,0,37642000,38130000,38130000
781 - regional administration and finance,furniture and equipment - staff quarters,region 8: potaro/siparuni,the project entails provision for furniture and equipment.,2500000,0,2500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,2500000,2500000
781 - regional administration and finance,land and water transport,region 8: potaro/siparuni,the project entails provision for all terrain vehicle (atv).,2500000,0,2500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,2500000,2500000
781 - regional administration and finance,furniture and equipment - administration,region 8: potaro/siparuni,the project entails provision for furniture and equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,2000000,2000000
782 - public works,bridges,region 8: potaro/siparuni,the project entails provision for bridges.,204000000,0,204000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,94000000,110000000,110000000
782 - public works,buildings,region 8: potaro/siparuni,the project entails provision for building.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,10000000,10000000
782 - public works,roads,region 8: potaro/siparuni,the project entails provision for roads.,58000000,0,58000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,58000000,58000000
782 - public works,other equipment,region 8: potaro/siparuni,the project entails provision for equipment.,33000000,0,33000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,33000000,33000000
783 - education delivery,buildings - education,region 8: potaro/siparuni,"the project includes:
1. payment of retention.
2. provision for schools and educational facilities.",421017000,0,421017000,01-Jan-25,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,204800000,216217000,216217000
783 - education delivery,furniture and equipment - staff quarters,region 8: potaro/siparuni,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,5000000,5000000
783 - education delivery,land and water transport,region 8: potaro/siparuni,the project entails provision for boats and outboard engines.,8000000,0,8000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,8000000,8000000
783 - education delivery,furniture and equipment - education,region 8: potaro/siparuni,the project entails provision for school furniture and equipment.,60000000,0,60000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,60000000,60000000
784 - health services,buildings - health,region 8: potaro/siparuni,the project entails provision for health facilities.,135000000,0,135000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,135000000,135000000
784 - health services,furniture and equipment - staff quarters,region 8: potaro/siparuni,the project includes provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,10000000,10000000
784 - health services,land and water transport,region 8: potaro/siparuni,"the project entails provision for ambulances, boats and outboard engines.",35000000,0,35000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,35000000,35000000
784 - health services,furniture and equipment - health,region 8: potaro/siparuni,the project entails provision for furniture and equipment.,85000000,0,85000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,85000000,85000000
785 - agriculture,agricultural development,region 8: potaro/siparuni,the project entails provision for agricultural development initiatives.,15000000,0,15000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,8 potaro/siparuni,0,0,0,15000000,15000000
791 - regional administration and finance,furniture - staff quarters,region 9: upper takutu/upper essequibo,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,3500000,3500000
791 - regional administration and finance,furniture and equipment - administration,region 9: upper takutu/upper essequibo,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,5000000,5000000
792 - agriculture,agricultural development,region 9: upper takutu/upper essequibo,the project entails provision for agricultural development initiatives.,51000000,0,51000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,51000000,51000000
793 - public works,bridges,region 9: upper takutu/upper essequibo,the project entails provision for bridges.,146000000,0,146000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,146000000,146000000
793 - public works,roads,region 9: upper takutu/upper essequibo,the project entails provision for roads.,114000000,0,114000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,114000000,114000000
793 - public works,infrastructure development,region 9: upper takutu/upper essequibo,the project entails construction of culverts.,36000000,0,36000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,36000000,36000000
793 - public works,power extension,region 9: upper takutu/upper essequibo,the project entails provision for equipment.,11000000,0,11000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,11000000,11000000
793 - public works,water supply,region 9: upper takutu/upper essequibo,the project entails upgrading of water supply systems.,37000000,0,37000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,37000000,37000000
794 - education delivery,buildings - education,region 9: upper takutu/upper essequibo,the project entails provision for schools and educational facilities.,253986000,0,253986000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,253986000,253986000
794 - education delivery,land and water transport,region 9: upper takutu/upper essequibo,the project entails provision for buses.,32000000,0,32000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,32000000,32000000
794 - education delivery,furniture and equipment - education,region 9: upper takutu/upper essequibo,the project entails provision for school furniture and equipment.,40000000,0,40000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,40000000,40000000
795 - health services,buildings - health,region 9: upper takutu/upper essequibo,the project entails provision for health facilities.,138000000,0,138000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,138000000,138000000
795 - health services,land and water transport,region 9: upper takutu/upper essequibo,"the project entails provision for ambulance, all terrain vehicles (atvs), boat and outboard engine.",30000000,0,30000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,30000000,30000000
795 - health services,furniture and equipment - health,region 9: upper takutu/upper essequibo,the project entails provision for furniture and equipment.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,9 upper takutu/upper essequibo,0,0,0,100000000,100000000
801 - regional administration and finance,buildings - administration,region 10: upper demerara/upper berbice,"the project includes:
1. payment of retention
2. provision for building.",399107000,0,399107000,01-Jan-25,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,234971000,164136000,164136000
801 - regional administration and finance,land and water transport,region 10: upper demerara/upper berbice,the project entails provision for boat and outboard engine.,10500000,0,10500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,10500000,10500000
801 - regional administration and finance,furniture and equipment - administration,region 10: upper demerara/upper berbice,the project entails provision for furniture and equipment.,4000000,0,4000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,4000000,4000000
802 - public works,bridges,region 10: upper demerara/upper berbice,the project entails provision for bridges.,32000000,0,32000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,32000000,32000000
802 - public works,roads,region 10: upper demerara/upper berbice,the project entails provision for roads.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,100000000,100000000
802 - public works,infrastructural development,region 10: upper demerara/upper berbice,the project entails provision for infrastructural development initiatives.,30000000,0,30000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,30000000,30000000
802 - public works,furniture and equipment,region 10: upper demerara/upper berbice,the project entails provision for furniture and equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,2000000,2000000
803 - education delivery,buildings - education,region 10: upper demerara/upper berbice,the project includes provision for schools and educational facilities.,868813000,0,868813000,01-Jan-25,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,422215000,446598000,446598000
803 - education delivery,land and water transport,region 10: upper demerara/upper berbice,"the project entails provision for buses, boats and outboard engines.",76400000,0,76400000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,76400000,76400000
803 - education delivery,furniture and equipment - education,region 10: upper demerara/upper berbice,the project entails provision for school furniture and equipment.,85000000,0,85000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,85000000,85000000
803 - education delivery,furniture and equipment - staff quarters,region 10: upper demerara/upper berbice,the project includes provision for furniture and equipment.,6500000,0,6500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,6500000,6500000
804 - health services,buildings - health,region 10: upper demerara/upper berbice,the project entails provision for health facilities.,230824000,0,230824000,01-Jan-25,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,87999000,142825000,142825000
804 - health services,land and water transport - health,region 10: upper demerara/upper berbice,"the project entails provision for boats, outboard engines and ambulance.",44000000,0,44000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,44000000,44000000
804 - health services,furniture and equipment - health,region 10: upper demerara/upper berbice,the project entails provision for furniture and equipment.,110000000,0,110000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,110000000,110000000
805 - agriculture,agricultural development,region 10: upper demerara/upper berbice,the project entails provision for agricultural development initiatives.,50000000,0,50000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,10 upper demerara/upper berbice,0,0,0,50000000,50000000
