agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 75 - REGION 5: MAHAICA/BERBICE,753 - public works,number of communities accessing water.,169,174,agency 75,region 5: mahaica/berbice,outcome,utilities,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of teachers trained at nursery,90%,100%,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of teachers trained at primary,80.9%,100%,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of teachers trained at secondary,69.7%,100%,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of teachers with a bachelor's degree,35%,44%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,student to trained teacher ratio: nursery,10:1,15:1,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,student to trained teacher ratio: primary,16:1,20:1,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,student to trained teacher ratio: secondary,11:1,25:1,agency 75,region 5: mahaica/berbice,output,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of pupils scoring 50% & over in all subjects at ngsa ,"52% (Boys:45%, Girls: 58%)",60%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,matriculation rate,"36% (Boys:32%, Girls:38% ",45%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools monitored at nursery,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools monitored at primary,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools monitored at secondary,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,average number of textbooks per pupil in primary,12,12,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,"share of textbooks per student by grade – primary: grades 1-4, a minimum of 5 textbook per child",100.00%,,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,"share of textbooks per student by grade – primary: grades 5-6, a minimum of 10 textbook per child",100.00%,,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,average number of textbooks per pupil in secondary,17,17,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,"share of textbooks per student by grade – secondary: grades 7-9, a minimum of 6 textbook per student",100.00%,,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,"share of textbooks per student by grade – secondary: grades 10-13, a minimum of 10 textbook per student",100%,,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of students accessing exercise books,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with internet access: nursery,95%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with internet access: primary,97%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with internet access: secondary,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with electricity access: nursery,97%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with electricity access: primary,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,754 - education delivery,percentage of schools with electricity access: secondary,100%,100%,agency 75,region 5: mahaica/berbice,outcome,education,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of facilities offering holistic primary health care services (phc),100%,100%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of regional and district hospitals offering obstetric services,100%,100%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of regional and district hospitals offering surgical services (ss),100%,100%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of essential drugs and medical supplies that have at least 3 months buffer stock,90%,92%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,number of trained health workers recruited.,73,80,agency 75,region 5: mahaica/berbice,output,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of pregnant women with anaemia,0.9%,<2%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of children under 5 years old with malnutrition,0.3%,<1%,agency 75,region 5: mahaica/berbice,outcome,social protection and welfare,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,"adolescent birth rate per 1,000 women","9/1,000","<14/1,000",agency 75,region 5: mahaica/berbice,outcome,social protection and welfare,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,percentage of communities involved in health care issues.,100%,100%,agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,incidences of infectious diseases,"130/1,000","<120/1,000",agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,incidence of dental caries in adults vs children (aged 0-14),"Adult: 108/1,000, Child: 139/1,000","Adult: <100/1,000 Child: <120/1,000",agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,mortality rate,"5/1,000","<15/1,000",agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 75 - REGION 5: MAHAICA/BERBICE,755 - health services,morbidity rate,"373/1,000","<300/1,000",agency 75,region 5: mahaica/berbice,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,"level of technical support given to rdcs, ipvcs and ndcs through: meetings held","8 RDC, 1 RAC",16,agency 76,region 6: east berbice/corentyne,output,administration,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,community outreaches conducted,197,200,agency 76,region 6: east berbice/corentyne,output,social protection and welfare,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,number of reports on local government matters disseminated.,21,28,agency 76,region 6: east berbice/corentyne,output,governance,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,number of skilled personnel recruited,25,69,agency 76,region 6: east berbice/corentyne,output,administration,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,number of villages supported with the preparation of their village sustainability plans,0,3,agency 76,region 6: east berbice/corentyne,outcome,economic development,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,number of village/community consultations held regarding regional development matters,22,22,agency 76,region 6: east berbice/corentyne,output,governance,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,regional disaster preparedness plan established and implemented,Yes,Yes,agency 76,region 6: east berbice/corentyne,output,environment_climate_risk,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,761 - regional administration and finance,number of amerindian villages/communities with access to internet within the region,3,0,agency 76,region 6: east berbice/corentyne,outcome,ict_communication,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,number of d&i structures maintained,50,50,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,number of d&i structures constructed (new),0,0,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,length of channel maintained,1877,1877,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,km of trenches cleaned,290,300,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,km of drains desilted,280,300,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,acreage of new farmlands made available,600,600,agency 76,region 6: east berbice/corentyne,outcome,agriculture,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,km of access dams maintained,620,620,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,km of farm to market roads constructed,0,0,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,number of shade houses constructed,59,100,agency 76,region 6: east berbice/corentyne,output,agriculture,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,762 - agriculture,number and percentage of project sites inspected,1500,1700,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,763 - public works,number of communities accessing electricity,,,agency 76,region 6: east berbice/corentyne,outcome,utilities,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,763 - public works,number of communities accessing potable water,,,agency 76,region 6: east berbice/corentyne,outcome,utilities,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,763 - public works,number of buildings maintained,15,17,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,763 - public works,km of roads maintained,52,63,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,763 - public works,number of bridges maintained,30,35,agency 76,region 6: east berbice/corentyne,output,infrastructure_transport,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of teachers trained at nursery,85%,100%,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of teachers trained at primary,67%,100%,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of teachers trained at secondary,63%,100%,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of teachers with a bachelor's degree,31.9%,60%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,student to trained teacher ratio: nursery,15:1,15:1,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,student to trained teacher ratio: primary,22:1,22:1,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,student to trained teacher ratio: secondary,25:1,25:1,agency 76,region 6: east berbice/corentyne,output,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of pupils scoring 50% & over in all subjects at ngsa,"50% (Boys: 44%, Girls: 56%)",60%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,matriculation rate,"35% (Boys:33%, Girls:37%)",50%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools monitored at nursery,98%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools monitored at primary,94%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools monitored at secondary,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,average number of textbooks per pupil  in primary,12,12,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,"share of textbooks per student by grade – primary: grades 1-4, a minimum of 5 textbook per child",100.00%,,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,"share of textbooks per student by grade – primary: grades 5-6, a minimum of 10 textbook per child",100.00%,,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,average number of textbooks per pupil in secondary,17,17,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,"share of textbooks per student by grade – secondary: grades 7-9, a minimum of 6 textbook per student",100.00%,,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,"share of textbooks per student by grade – secondary: grades 10-13, a minimum of 10 textbook per student",100.00%,,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of students accessing exercise books,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with internet access: nursery,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with internet access: primary,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with internet access: secondary,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with electricity access: nursery,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with electricity access: primary,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,764 - education delivery,percentage of schools with electricity access: secondary,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,education,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of facilities offering holistic primary health care services (phc),100%,100%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of regional and district hospitals offering obstetric services,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of regional and district hospitals offering surgical services (ss),50%,70%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of essential drugs and medical supplies that have at least 3 months buffer stock,90%,95%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,number of trained health care workers recruited,80,180,agency 76,region 6: east berbice/corentyne,output,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of pregnant women with anaemia,7%,6%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of children under 5 years old with malnutrition,0.1%,0%,agency 76,region 6: east berbice/corentyne,outcome,social protection and welfare,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,"adolescent birth rate per 1,000 women",10,8,agency 76,region 6: east berbice/corentyne,outcome,social protection and welfare,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,percentage of communities involved in health care issues,100%,100%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,incidences of infectious diseases,5%,5%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,incidence of dental caries in adults vs children,"1,000 vs 5,000","800 vs 4,000",agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,mortality rate,1%,1%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 76 - REGION 6: EAST BERBICE/CORENTYNE,765 - health services,morbidity rate,9%,8%,agency 76,region 6: east berbice/corentyne,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,"level of technical support given to rdcs, ipvcs and ndcs through: meetings held",27,30,agency 77,region 7: cuyuni/mazaruni,output,administration,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,community outreaches conducted,25,30,agency 77,region 7: cuyuni/mazaruni,output,social protection and welfare,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,percentage of reports on local government matters disseminated,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,governance,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,number of skilled personnel recruited,49,70,agency 77,region 7: cuyuni/mazaruni,output,administration,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,number of villages supported with the preparation of their village sustainability plans,5,10,agency 77,region 7: cuyuni/mazaruni,outcome,economic development,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,number of village/community consultations held regarding regional development matters,28,28,agency 77,region 7: cuyuni/mazaruni,output,governance,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,regional disaster preparedness plan established and implemented,No,Yes,agency 77,region 7: cuyuni/mazaruni,output,environment_climate_risk,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,771 - regional administration and finance,number of villages/communities with access to internet within the region,25/28,28/28,agency 77,region 7: cuyuni/mazaruni,outcome,ict_communication,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,772 - public works,proportion of communities accessing electricity for the first time,9/28,1/28,agency 77,region 7: cuyuni/mazaruni,outcome,utilities,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,772 - public works,proportion of communities accessing portable water,7,12,agency 77,region 7: cuyuni/mazaruni,outcome,utilities,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,772 - public works,number of bridges and buildings maintained: bridges,7,8,agency 77,region 7: cuyuni/mazaruni,output,infrastructure_transport,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,772 - public works,number of bridges and buildings maintained: buildings,90,100,agency 77,region 7: cuyuni/mazaruni,output,infrastructure_transport,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,772 - public works,number of bridges and buildings maintained: (km) of roads and trails maintained,5.06,5.06,agency 77,region 7: cuyuni/mazaruni,output,infrastructure_transport,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of teachers trained at nursery,53%,75%,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of teachers trained at primary,54%,84%,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of teachers trained at secondary,59%,65%,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of teachers with a bachelor's degree,40%,50%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,student to trained teacher ratio: nursery,18:1,15:1,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,student to trained teacher ratio: primary,24:1,20:1,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,student to trained teacher ratio: secondary,20:1,25:1,agency 77,region 7: cuyuni/mazaruni,output,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of pupils scoring 50% & over in all subjects at ngsa,"34% (Boys:30%, Girls:38%)",39%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,matriculation rate,"15% (Boys: 16%, Girls:14%)",25%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,performance index of hinterland/riverine vs coastal students at ngsa,0.6,1,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,performance index of hinterland/riverine vs coastal students at csec,0.4,1,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools monitored at nursery,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools monitored at primary,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools monitored at secondary,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,average number of textbooks per pupil in primary,12,12,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,"share of textbooks per student by grade – primary: grades 1-4, a minimum of 5 textbook per child",100.00%,,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,"share of textbooks per student by grade – primary: grades 5-6, a minimum of 10 textbook per child",100.00%,,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,average number of textbooks per pupil in secondary,17,17,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,"share of textbooks per student by grade – secondary: grades 7-9, a minimum of 6 textbook per student",100.00%,,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,"share of textbooks per student by grade – secondary: grades 10-13, a minimum of 10 textbook per student",100.00%,,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of students accessing exercise books,100.00%,100.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with internet access: nursery,80.00%,100.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with internet access: primary,87.00%,85.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with internet access: secondary,100.00%,100.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with electricity access: nursery,88.00%,100.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with electricity access: primary,81.00%,95.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,773 - education delivery,percentage of schools with electricity access: secondary,100.00%,100.00%,agency 77,region 7: cuyuni/mazaruni,outcome,education,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of facilities offering holistic primary health care services (phc),100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of regional and district hospitals offering obstetric services,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of regional and district hospitals offering surgical services (ss),100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of essential drugs and medical supplies that have at least 3 months buffer stock,95%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,number of trained health care workers recruited,66,80,agency 77,region 7: cuyuni/mazaruni,output,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of pregnant women with anaemia,<0.7%,<0.7%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of children under 5 years with malnutrition,0%,0%,agency 77,region 7: cuyuni/mazaruni,outcome,social protection and welfare,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,"adolescent birth rate per 1,000 women","75/1,000","72/1,000",agency 77,region 7: cuyuni/mazaruni,outcome,social protection and welfare,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,percentage of communities involved in health care issues,100%,100%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,incidences of infectious diseases,<17%,<15%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,incidence of dental caries in adults vs children,35% vs 22%,20% vs 15%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
AGENCY 77 - REGION 7: CUYUNI/MAZARUNI,774 - health services,mortality rate,<0.8%,<0.7%,agency 77,region 7: cuyuni/mazaruni,outcome,health,local government
